Date,High,low,Close,No.of Trades,Turn over
15-10-15,95.90,95.20,95.90,14,"268,949.60"
16-10-15,95.20,94.90,95.00,35,"1,208,167.40"
19-10-15,95.50,94.50,94.70,26,"540,791,205.00"
20-10-15,96.00,94.90,95.30,45,"2,716,231.20"
21-10-15,96.60,95.00,96.00,15,"490,590.00"
22-10-15,96.00,95.00,96.00,29,"4,549,357.20"
23-10-15,96.00,95.20,95.60,25,"876,128.50"
26-10-15,96.40,95.60,95.80,26,"1,605,924.40"
28-10-15,96.50,96.00,96.50,19,"1,273,343.50"
29-10-15,96.50,95.50,95.60,22,"746,123.50"
30-10-15,96.50,95.10,95.10,15,"123,582.30"
02-11-15,96.00,95.00,95.00,13,"402,732.00"
03-11-15,93.00,93.00,93.00,3,"172,050.00"
04-11-15,95.00,93.10,95.00,29,"1,018,855.00"
05-11-15,95.00,94.90,95.00,4,"180,875.00"
06-11-15,95.90,94.50,95.20,37,"2,173,820.50"
09-11-15,95.50,95.00,95.20,5,"4,465.50"
11-11-15,95.00,95.00,95.00,15,"487,160.00"
12-11-15,94.50,94.30,94.50,8,"310,887.00"
13-11-15,94.40,93.00,93.00,34,"2,792,922.70"
16-11-15,93.10,92.10,92.10,25,"7,546,012.50"
17-11-15,92.00,91.50,91.90,38,"1,132,569.80"
18-11-15,91.50,90.00,91.10,43,"3,115,182.20"
19-11-15,91.60,91.00,91.50,29,"1,177,507.50"
20-11-15,92.00,90.30,91.60,26,"642,969.50"
23-11-15,90.10,87.50,87.80,92,"4,467,251.30"
24-11-15,87.60,86.10,86.20,35,"493,547.50"
26-11-15,86.00,80.00,83.40,158,"14,623,232.90"
27-11-15,84.30,82.90,83.90,51,"2,769,146.00"
30-11-15,83.80,82.90,83.00,22,"1,677,086.70"
01-12-15,84.00,82.60,82.70,30,"2,635,780.00"
02-12-15,83.50,82.50,82.90,25,"3,865,104.00"
03-12-15,83.50,83.00,83.40,8,"280,367.40"
04-12-15,83.50,82.20,82.30,20,"3,849,502.50"
07-12-15,84.00,82.00,82.10,14,"691,361.40"
08-12-15,82.90,80.50,80.60,41,"15,014,522.20"
09-12-15,82.00,81.10,81.80,11,"2,315,222.90"
10-12-15,81.50,81.20,81.50,9,"348,002.00"
